Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,Nc,Mc,Sc,year_restoration,time,Temp,Precip,Mixture (yes/no),Disturbance levels,Severe Disturbance,Burn (Y/N),Seeded (Y/N),Multiple application (Y/N),Biome,Location,Coordinates (Latitude),Coordinate (longitude),Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1)
Q,34,18,Brown,2003,66,3,SE,609.57,141.06,3,6.05,8.06,2,3,4.9,100.7,Yes,high,Y,N,Y,N,Temperate seasonal forest,"Idaho, USA",47.48685,-115.90071,,,
Q,34,19,Brown,2003,99,3,SE,235.77,28.21,3,6.05,8.06,2,3,4.9,100.7,Yes,high,Y,N,Y,N,Temperate seasonal forest,"Idaho, USA",47.48685,-115.90071,,,
Q,34,20,Brown,2003,99,3,SE,293.2,149.12,3,6.05,8.06,2,3,4.9,100.7,Yes,high,Y,N,Y,N,Temperate seasonal forest,"Idaho, USA",47.48685,-115.90071,,,
Q,34,21,Brown,2003,99,3,SE,257.93,126.95,3,6.05,8.06,2,3,4.9,100.7,Yes,high,Y,N,Y,N,Temperate seasonal forest,"Idaho, USA",47.48685,-115.90071,,,
Q,34,22,Brown,2003,155,3,SE,124.94,49.37,3,6.05,8.06,2,3,4.9,100.7,Yes,high,Y,N,Y,N,Temperate seasonal forest,"Idaho, USA",47.48685,-115.90071,,,
CCC,30,1,Brown,2014,112,3,SD,14.6,4.2,3,0,0,12,13,14,108.7,Yes,high,Y,N,Y,N,Shrubland,"Joplin, Missouri, USA",37.08416,-94.51305,,,
CCC,30,2,Brown,2014,336,3,SD,47.1,20.8,3,0,0,12,13,14,108.7,Yes,high,Y,N,Y,N,Shrubland,"Joplin, Missouri, USA",37.08416,-94.51305,,,
ZZ,153,1,Carson,1988,8.96,3,N,1048,329.9,2,733,306.5,1,2,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
ZZ,153,2,Carson,1988,8.96,3,N,747,235.1,2,465,194.4,1,2,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
ZZ,153,3,Carson,1988,17.92,3,N,1142,359.4,2,1275,533.1,2,3,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
ZZ,153,4,Carson,1988,17.92,3,N,1109,349.1,2,434,181.4,2,3,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
ZZ,153,5,Carson,1988,26.94,3,N,1171,368.6,2,1597,667.7,3,4,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
ZZ,153,6,Carson,1988,26.94,3,N,1971,620.4,2,648,270.9,3,4,11.1,104.8,No,medium,Y,N,Y,Y,Temperate seasonal forest,"Ohio, USA",39.5,-84.73333,,,0.538
G,132,1,Diaz,1997,6.5,5,N,81.91,25.8,5,19.11,8,1,2,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000923077,1.495,0.078
G,132,2,Diaz,1997,13,5,N,223.89,70.5,5,19.11,8,1,2,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000461538,2.99,0.156
G,132,3,Diaz,1997,19.5,5,N,122.87,38.7,5,19.11,8,1,2,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000307692,4.485,0.234
G,132,4,Diaz,1997,26,5,N,165.64,52.1,5,19.11,8,1,2,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000230769,5.98,0.312
G,132,5,Diaz,1997,6.5,5,N,334.02,105.1,5,83.73,35,2,3,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000923077,1.495,0.078
G,132,6,Diaz,1997,13,5,N,645.28,203.1,5,83.73,35,2,3,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000461538,2.99,0.156
G,132,7,Diaz,1997,19.5,5,N,517.86,163,5,83.73,35,2,3,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000307692,4.485,0.234
G,132,8,Diaz,1997,26,5,N,797.27,250.9,5,83.73,35,2,3,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000230769,5.98,0.312
G,132,9,Diaz,1997,6.5,5,N,237.54,74.8,5,62.8,26.3,3,4,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000923077,1.495,0.078
G,132,10,Diaz,1997,13,5,N,260.3,81.9,5,62.8,26.3,3,4,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000461538,2.99,0.156
G,132,11,Diaz,1997,19.5,5,N,445.96,140.4,5,62.8,26.3,3,4,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000307692,4.485,0.234
G,132,12,Diaz,1997,26,5,N,577.93,181.9,5,62.8,26.3,3,4,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000230769,5.98,0.312
G,132,13,Diaz,1997,6.5,5,N,233.9,73.6,5,78.27,32.7,4,5,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000923077,1.495,0.078
G,132,14,Diaz,1997,13,5,N,363.14,114.3,5,78.27,32.7,4,5,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000461538,2.99,0.156
G,132,15,Diaz,1997,19.5,5,N,425.03,133.8,5,78.27,32.7,4,5,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000307692,4.485,0.234
G,132,16,Diaz,1997,26,5,N,545.16,171.6,5,78.27,32.7,4,5,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000230769,5.98,0.312
G,132,17,Diaz,1997,6.5,5,N,235.72,74.2,5,72.81,30.4,5,6,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000923077,1.495,0.078
G,132,18,Diaz,1997,13,5,N,232.99,73.3,5,72.81,30.4,5,6,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000461538,2.99,0.156
G,132,19,Diaz,1997,19.5,5,N,205.69,64.7,5,72.81,30.4,5,6,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000307692,4.485,0.234
G,132,20,Diaz,1997,26,5,N,316.72,99.7,5,72.81,30.4,5,6,16.1,36.1,No,low,N,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,0.000230769,5.98,0.312
M,125,1,Fresquez,1990,22.5,4,N,87.2,27.4,4,65.2,27.3,0.3,1,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.0359775,,1.0936575
M,125,2,Fresquez,1990,45,4,N,91.4,28.8,4,65.2,27.3,0.3,1,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.071955,,2.187315
M,125,3,Fresquez,1990,90,4,N,82.5,26,4,65.2,27.3,0.3,1,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.14391,,4.37463
M,125,4,Fresquez,1990,22.5,4,N,145.5,45.8,4,120.8,50.5,2.3,3,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.0359775,,1.0936575
M,125,5,Fresquez,1990,45,4,N,141.7,44.6,4,120.8,50.5,2.3,3,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.071955,,2.187315
M,125,6,Fresquez,1990,90,4,N,153.5,48.3,4,120.8,50.5,2.3,3,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.14391,,4.37463
M,125,7,Fresquez,1990,22.5,4,N,102,32.1,4,79.5,33.2,3.3,4,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.0359775,,1.0936575
M,125,8,Fresquez,1990,45,4,N,112.9,35.5,4,79.5,33.2,3.3,4,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.071955,,2.187315
M,125,9,Fresquez,1990,90,4,N,100.8,31.7,4,79.5,33.2,3.3,4,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.14391,,4.37463
M,125,10,Fresquez,1990,22.5,4,N,57,17.9,4,41.7,17.4,4.3,5,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.0359775,,1.0936575
M,125,11,Fresquez,1990,45,4,N,72.8,22.9,4,41.7,17.4,4.3,5,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.071955,,2.187315
M,125,12,Fresquez,1990,90,4,N,71.6,22.5,4,41.7,17.4,4.3,5,10.4,36.7,No,low,N,N,N,N,Temperate grassland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,0.14391,,4.37463
A,4,1,Gardner,2012,50,8,SE,31,15.8391919,8,0.2,0.311126984,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,15.1,2.05
A,4,2,Gardner,2012,100,8,SE,43.3,19.51614716,8,0.2,0.311126984,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,30.2,4.1
A,4,3,Gardner,2012,150,8,SE,47.5,19.51614716,8,0.2,0.311126984,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,45.3,6.15
A,4,4,Gardner,2012,200,8,SE,37.5,9.333809512,8,0.2,0.311126984,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,60.4,8.2
A,4,5,Gardner,2012,250,8,SE,43.5,19.23330445,8,0.2,0.311126984,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,75.5,10.25
