Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,seimp,Nc,Mc,Sc,scimp,year_restoration,yeartrans,Temp,Precip,Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1),Mixture,Disturbances levels,Burn,Seeded,Multiple application ,Biome,Location,Coordinates (Latitude),Coordinate (longitude),S.dist
M,125,1,Fresquez,1990,22.5,4,,37,,1.93598228,4,30,,2.320256177,1,2,10.4,36.7,0.0359775,,1.0936575,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,2,Fresquez,1990,45,4,,35,,1.831334589,4,30,,2.320256177,1,2,10.4,36.7,0.071955,,2.187315,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,3,Fresquez,1990,90,4,,36,,1.883658435,4,30,,2.320256177,1,2,10.4,36.7,0.14391,,4.37463,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,4,Fresquez,1990,22.5,4,,54,,2.825487652,4,35,,2.70696554,2,3,10.4,36.7,0.0359775,,1.0936575,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,5,Fresquez,1990,45,4,,52,,2.720839961,4,35,,2.70696554,2,3,10.4,36.7,0.071955,,2.187315,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,6,Fresquez,1990,90,4,,55,,2.877811497,4,35,,2.70696554,2,3,10.4,36.7,0.14391,,4.37463,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,7,Fresquez,1990,22.5,4,,42,,2.197601507,4,31,,2.39759805,3,4,10.4,36.7,0.0359775,,1.0936575,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,8,Fresquez,1990,45,4,,37,,1.93598228,4,31,,2.39759805,3,4,10.4,36.7,0.071955,,2.187315,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,9,Fresquez,1990,90,4,,35,,1.831334589,4,31,,2.39759805,3,4,10.4,36.7,0.14391,,4.37463,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,10,Fresquez,1990,22.5,4,,28,,1.465067671,4,25,,1.933546814,4,5,10.4,36.7,0.0359775,,1.0936575,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,11,Fresquez,1990,45,4,,28,,1.465067671,4,25,,1.933546814,4,5,10.4,36.7,0.071955,,2.187315,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
M,125,12,Fresquez,1990,90,4,,32,,1.674363053,4,25,,1.933546814,4,5,10.4,36.7,0.14391,,4.37463,N ,low,N,N,N,Shrubland,"Rio Puerco, New-Mexico, USA",35.648301,-106.58594,No
A,173,1,Gagnon,unpublished,200,8,SE,86.35,10.09,10.09,8,2.33,4.23,4.23,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,2,Gagnon,unpublished,150,8,SE,89.38,13.14,13.14,8,2.33,4.23,4.23,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,3,Gagnon,unpublished,50,8,SE,73.53,15.74,15.74,8,2.33,4.23,4.23,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,4,Gagnon,unpublished,250,8,SE,128.99,17.07,17.07,8,56.94,26.69,26.69,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,5,Gagnon,unpublished,100,8,SE,71.46,17.2,17.2,8,2.33,4.23,4.23,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,6,Gagnon,unpublished,200,8,SE,127.61,18.14,18.14,8,56.94,26.69,26.69,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,7,Gagnon,unpublished,100,8,SE,140.25,18.15,18.15,8,56.94,26.69,26.69,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,8,Gagnon,unpublished,50,8,SE,122.65,18.69,18.69,8,56.94,26.69,26.69,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,9,Gagnon,unpublished,150,8,SE,132.09,20.77,20.77,8,56.94,26.69,26.69,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
A,173,10,Gagnon,unpublished,250,8,SE,84.71,22.21,22.21,8,2.33,4.23,4.23,17,18,3.4,39.2,,15.1,2.05,N ,high,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,No
X,165,1,González Polo,2015,40,4,SE,11.9,7.58,7.58,4,7.2,2.96,2.96,6,7,14.7,24.8,0.068,11.56,0.74,Y,high,Y,N,N,Shrubland,"Patagonia, Argentina",-40.57333,-70.8325,Yes
B,61,1,Ippolito,2010,2.5,4,,98.72,,5.165410019,4,98.53,,7.620494705,13,14,7.8,37.4,0.03725,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,2,Ippolito,2010,5,4,,98.72,,5.165410019,4,98.53,,7.620494705,13,14,7.8,37.4,0.0745,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,3,Ippolito,2010,10,4,,98.13,,5.13453895,4,98.53,,7.620494705,13,14,7.8,37.4,0.149,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,4,Ippolito,2010,21,4,,99.71,,5.217210625,4,98.53,,7.620494705,13,14,7.8,37.4,0.3129,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,5,Ippolito,2010,30,4,,99.71,,5.217210625,4,98.53,,7.620494705,13,14,7.8,37.4,0.447,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,6,Ippolito,2010,2.5,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.03725,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,7,Ippolito,2010,5,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.0745,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,8,Ippolito,2010,10,4,,99.26,,5.193664895,4,99.68,,7.709437859,14,15,7.8,37.4,0.149,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,9,Ippolito,2010,21,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.3129,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,10,Ippolito,2010,30,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.447,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,11,Ippolito,2010,5,4,,99.12,,5.186339557,4,99.31,,7.680821366,13,14,7.8,37.4,0.0745,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,12,Ippolito,2010,10,4,,99.9,,5.227152156,4,99.31,,7.680821366,13,14,7.8,37.4,0.149,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,13,Ippolito,2010,20,4,,98.92,,5.175874788,4,99.31,,7.680821366,13,14,7.8,37.4,0.298,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,14,Ippolito,2010,42,4,,98.72,,5.165410019,4,99.31,,7.680821366,13,14,7.8,37.4,0.6258,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,15,Ippolito,2010,60,4,,100.1,,5.237616925,4,99.31,,7.680821366,13,14,7.8,37.4,0.894,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,16,Ippolito,2010,10,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.149,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,17,Ippolito,2010,20,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.298,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,18,Ippolito,2010,40,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.596,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,19,Ippolito,2010,84,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,1.2516,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,20,Ippolito,2010,120,4,,99.26,,5.193664895,4,99.79,,7.717945465,14,15,7.8,37.4,1.788,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
X,5,1,Kowaljow,2010,40,4,SD,19.15,3.33,3.33,4,11.42,4.27,4.27,2,3,9.4,56.5,0.0508,8.44,0.62,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,2,Kowaljow,2010,40,4,SD,26.21,9.58,9.58,4,11.42,4.27,4.27,2,3,9.4,56.5,0.068,11.56,0.74,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,3,Kowaljow,2010,40,4,SD,10,,0.523238454,4,7.4,,0.572329857,1,2,9.4,56.5,0.0508,8.44,0.62,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,4,Kowaljow,2010,40,4,SD,15,,0.784857681,4,7.4,,0.572329857,1,2,9.4,56.5,0.068,11.56,0.74,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
LLL,159,1,Larchevêque,2005,100,4,SE,92.2,2.55,2.55,4,84.87,2.55,2.55,1.417,2,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,2,Larchevêque,2005,100,4,SE,89.33,3.18,3.18,4,82.32,4.14,4.14,2.167,3,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,3,Larchevêque,2005,100,4,SE,84.55,6.37,6.37,4,82.32,1.91,1.91,0.833,2,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,4,Larchevêque,2005,50,4,SE,92.52,9.24,9.24,4,82.32,1.91,1.91,0.8333,2,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,5,Larchevêque,2005,50,4,SE,93.63,6.37,6.37,4,84.87,2.55,2.55,1.417,2,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,6,Larchevêque,2005,50,4,SE,92.83,10.51,10.51,4,82.32,4.14,4.14,2.167,3,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
